Contributor ,Amount
American Crystal Sugar ,2181249
Fanjul Corp,2031681
US sugar,1191823
Michigan Sugar,473750
American Sugar Cane league ,324750
Southern Minn Beet Sugar Co-Op,312500
Minn-Dak  Farmers Co-Op,273800
Florida Sugar Cane League,258500
Snake River Sugar,185500
Western Sugar Cooperative,185000
Sugar Cane Growers Co-Op of Florida,146898
American Sugarbeet Growers Assn ,116000
Hillard Brothers of Florida,106700
US beet Sugar Assn ,56700
MK enterprises,28750
California Beet Growers Assn ,13800
Sugar Creek Reality ,11916
Amalgamated Sugar,9010
Lula-Westfield LLC,7700
Alexander and Baldwin ,5000
American Cane Sugar ,5000
